Job Title,Date Posted,Location,Department,Language Req,Direct Link,Status,DeleteCounter
Werkstudent - Real Estate & Facility Management (m/w/d),N/A,"Unterföhring (bei München), Germany, 85774",Real Estate,"English, German",https://careers.allianz.com/global/en/job/98125/Werkstudent-Real-Estate-Facility-Management-m-w-d,New,0
Werkstudent Assistenz der Fachbereichsleitung (m/w/d),N/A,"Unterföhring (bei München), Germany, 85774",Project Management,Not specified,https://careers.allianz.com/global/en/job/93576/Werkstudent-Assistenz-der-Fachbereichsleitung-m-w-d,New,0
Working Student (m/f/d) - Allianz Consulting - Project Management with AI Affinity,N/A,"Unterföhring (bei München), Germany, 85774",Inhouse Consulting,"English, German",https://careers.allianz.com/global/en/job/98681/Working-Student-m-f-d-Allianz-Consulting-Project-Management-with-AI-Affinity,New,0
Working Student Infrastructure Leadership Support AGCS (m/f/d),N/A,"Unterföhring (bei München), Germany, 85774",Operations,Not specified,https://careers.allianz.com/global/en/job/98545/Working-Student-Infrastructure-Leadership-Support-AGCS-m-f-d,New,0
Werkstudent People & Culture (m/w/d),N/A,"München, Germany, 80802",Human Resources,English,https://careers.allianz.com/global/en/job/99233/Werkstudent-People-Culture-m-w-d,New,0
Working Student Transfer Pricing and Tax Team (f/m/d),N/A,"Frankfurt, Germany, 60323",Finance & Accounting,"English, German",https://careers.allianz.com/global/en/job/98786/Working-Student-Transfer-Pricing-and-Tax-Team-f-m-d,New,0
"Working Student in Group AI Office in Group Technology, Data and AI at Allianz SE (m/f/d)",Appointment date: as soon as possible,"München, Germany, 80802",Project Management,English,https://careers.allianz.com/global/en/job/99223/Working-Student-in-Group-AI-Office-in-Group-Technology-Data-and-AI-at-Allianz-SE-m-f-d,New,0
Intern - Allianz Services - Compliance and Regulatory (m/f/d),N/A,"Unterföhring (bei München), Germany, 85774",Legal & Compliance,"English, German",https://careers.allianz.com/global/en/job/98497/Intern-Allianz-Services-Compliance-and-Regulatory-m-f-d,New,0
Intern Events & Visitor Experience - R&D Center Europe (m/f/d),N/A,"Unterföhring (bei München), Germany, 85774",Project Management,"English, German",https://careers.allianz.com/global/en/job/95717/Intern-Events-Visitor-Experience-R-D-Center-Europe-m-f-d,New,0
Ausbildung 2026 - Duales Studium Informatik (m/w/d),N/A,"Stuttgart, Germany, 70565",Operations,English,https://careers.allianz.com/global/en/job/76630/Ausbildung-2026-Duales-Studium-Informatik-m-w-d,New,0
Intern in Group Actuarial Life at Allianz SE (m/f/d),Appointment date: as soon as possible,"München, Germany, 80802",Actuarial,English,https://careers.allianz.com/global/en/job/99161/Intern-in-Group-Actuarial-Life-at-Allianz-SE-m-f-d,New,0
Ausbildung 2026 - Duales Studium BWL - Risk and Insurance Management (m/w/d),N/A,"Stuttgart, Germany, 70565",Operations,Not specified,https://careers.allianz.com/global/en/job/76628/Ausbildung-2026-Duales-Studium-BWL-Risk-and-Insurance-Management-m-w-d,New,0
Working Student in Bord Office at Allianz SE (m/f/d),Appointment date: as soon as possible,"München, Germany, 80802",Data & AI,English,https://careers.allianz.com/global/en/job/99722/Working-Student-in-Bord-Office-at-Allianz-SE-m-f-d,New,0
Ausbildung 2026 - Duales Studium BWL / Food Management (m/w/d),N/A,"Unterföhring (bei München), Germany, 85774",Operations,English,https://careers.allianz.com/global/en/job/76545/Ausbildung-2026-Duales-Studium-BWL-Food-Management-m-w-d,New,0
Master 2026 - Duales Studium Wirtschaftsmathematiker (m/w/d),N/A,"Stuttgart, Germany, 70565",Operations,German,https://careers.allianz.com/global/en/job/76633/Master-2026-Duales-Studium-Wirtschaftsmathematiker-m-w-d,New,0
Working Student - Network Enablement Center of Excellence (CoE) (m/f/d),N/A,"Unterföhring (bei München), Germany, 85774",IT & Tech Engineering,English,https://careers.allianz.com/global/en/job/100011/Working-Student-Network-Enablement-Center-of-Excellence-CoE-m-f-d,New,0
Ausbildung 2026 - Duales Studium BWL - Risk and Insurance Management (m/w/d),N/A,"Stuttgart, Germany, 70565",Operations,Not specified,https://careers.allianz.com/global/en/job/76629/Ausbildung-2026-Duales-Studium-BWL-Risk-and-Insurance-Management-m-w-d,New,0
Working Student - Product Management & Innovation Automotive (m/f/d),Appointment date: as soon as possible,"Unterföhring (bei München), Germany, 85774",Product Management,English,https://careers.allianz.com/global/en/job/98474/Working-Student-Product-Management-Innovation-Automotive-m-f-d,New,0
Working Student for Video Editing (m/f/d),N/A,"Unterföhring (bei München), Germany, 85774",IT & Tech Engineering,Not specified,https://careers.allianz.com/global/en/job/98191/Working-Student-for-Video-Editing-m-f-d,New,0
Ausbildung 2026 - Duales Studium BWL - Risk and Insurance Management (m/w/d),N/A,"Karlsruhe, Germany, 76135",Operations,Not specified,https://careers.allianz.com/global/en/job/76334/Ausbildung-2026-Duales-Studium-BWL-Risk-and-Insurance-Management-m-w-d,New,0
Working Student in Inclusion & Equal Opportunities at Allianz SE (m/f/d),Appointment date: as soon as possible,"Unterföhring (bei München), Germany, 85774",Human Resources,"English, German",https://careers.allianz.com/global/en/job/99916/Working-Student-in-Inclusion-Equal-Opportunities-at-Allianz-SE-m-f-d,New,0
Werkstudent im Bereich Rechtsschutz (m/w/d),N/A,"Stuttgart, Germany, 70565",Operations,German,https://careers.allianz.com/global/en/job/4883/Werkstudent-im-Bereich-Rechtsschutz-m-w-d,New,0
